address,cars,bluecar counter,utilib_counter,utilib_counter,charge_slots,charging status,city,kind,postal_code,rental_status,slots,station_type,status,subscription_status,year,month,day,hour,minute,timestamp,Total_cars
2 Avenue de Suffren,0,0,0,0,0,nonexistent,Paris,STATION,75015,operational,2,station,ok,nonexistent,2018,4,8,11,43,2018-04-08 11:43:00,0
145 Rue Raymond Losserand,6,6,0,0,0,operational,Paris,STATION,75014,operational,0,station,ok,nonexistent,2018,4,6,7,24,2018-04-06 07:24:00,6
2 Avenue John Fitzgerald Kennedy,3,3,0,2,0,operational,Le Bourget,STATION,93350,operational,1,station,ok,nonexistent,2018,4,3,20,14,2018-04-03 20:14:00,5
51 Rue EugÃ¨ne OudinÃ©,3,3,1,0,1,operational,Paris,STATION,75013,operational,2,station,ok,nonexistent,2018,4,4,4,37,2018-04-04 04:37:00,4
6 avenue de la Porte de Champerret,3,3,0,0,0,nonexistent,Paris,PARKING,75017,operational,3,station,ok,nonexistent,2018,4,8,17,23,2018-04-08 17:23:00,3
8 Boulevard Voltaire,0,0,0,0,0,nonexistent,Paris,STATION,75011,operational,4,station,ok,nonexistent,2018,4,6,7,2,2018-04-06 07:02:00,0
37 rue Leblanc,0,0,0,0,0,nonexistent,Paris,PARKING,75015,broken,0,station,closed,nonexistent,2018,4,8,18,20,2018-04-08 18:20:00,0
17 Rue des Luaps ProlongÃ©e,3,3,1,0,0,nonexistent,Nanterre,STATION,92000,operational,0,station,ok,nonexistent,2018,4,4,22,13,2018-04-04 22:13:00,4
34 avenue Jean Moulin,1,1,0,0,0,nonexistent,Paris,STATION,75014,operational,4,station,ok,nonexistent,2018,4,2,22,58,2018-04-02 22:58:00,1
41 boulevard de Rochechouart,6,6,0,0,0,nonexistent,Paris,PARKING,75009,operational,0,station,ok,nonexistent,2018,4,4,15,2,2018-04-04 15:02:00,6
14 rue Censier,0,0,0,0,2,operational,Paris,STATION,75005,operational,6,station,ok,nonexistent,2018,4,1,4,39,2018-04-01 04:39:00,0
12 Rue Francis de PressensÃ©,1,1,0,0,0,nonexistent,Puteaux,STATION,92800,operational,4,station,ok,nonexistent,2018,4,6,9,20,2018-04-06 09:20:00,1
6 avenue de la Porte de Champerret,5,5,1,0,0,nonexistent,Paris,PARKING,75017,operational,0,station,ok,nonexistent,2018,4,5,12,22,2018-04-05 12:22:00,6
34 avenue Jean Moulin,0,0,0,0,0,nonexistent,Paris,STATION,75014,operational,0,station,ok,nonexistent,2018,4,8,21,54,2018-04-08 21:54:00,0
8 Boulevard Richard Lenoir,0,0,0,0,1,operational,Paris,STATION,75011,operational,4,station,ok,nonexistent,2018,4,6,8,0,2018-04-06 08:00:00,0
3 rue Jean JaurÃ¨s,0,0,0,0,0,nonexistent,Fontenay-aux-Roses,SPACE,92260,operational,4,full_station,ok,operational,2018,4,2,0,21,2018-04-02 00:21:00,0
2 avenue du GÃ©nÃ©ral Leclerc,0,0,0,0,0,nonexistent,Le Chesnay,STATION,78150,operational,1,station,ok,nonexistent,2018,4,3,19,0,2018-04-03 19:00:00,0
182 Boulevard Voltaire,6,6,0,0,0,operational,Paris,STATION,75011,operational,0,station,ok,nonexistent,2018,4,9,12,14,2018-04-09 12:14:00,6
26 villa Croix-Nivert,5,5,0,0,0,nonexistent,Paris,PARKING,75015,operational,0,station,ok,nonexistent,2018,4,9,20,58,2018-04-09 20:58:00,5
11 avenue RenÃ© Coty,4,4,0,2,0,operational,Paris,STATION,75014,operational,0,station,ok,nonexistent,2018,4,9,21,31,2018-04-09 21:31:00,6
2 Place de Catalogne,3,3,0,0,0,operational,Paris,SPACE,75014,operational,0,full_station,ok,operational,2018,4,5,6,16,2018-04-05 06:16:00,3
37 avenue Georges Pompidou,2,2,1,0,0,nonexistent,Suresnes,STATION,92150,operational,3,station,ok,nonexistent,2018,4,7,7,32,2018-04-07 07:32:00,3
5 rue Vauban,5,5,0,0,0,nonexistent,Versailles,STATION,78000,operational,1,station,ok,nonexistent,2018,4,5,3,6,2018-04-05 03:06:00,5
2 Rue du GÃ©nÃ©ral Malleret Joinville,2,2,0,0,0,nonexistent,Malakoff,STATION,92240,operational,4,station,ok,nonexistent,2018,4,1,4,11,2018-04-01 04:11:00,2
15 avenue Ãmile Deschanel,2,2,0,0,1,operational,Paris,STATION,75007,operational,2,station,ok,nonexistent,2018,4,4,23,27,2018-04-04 23:27:00,2
182 Boulevard Voltaire,0,0,0,0,2,operational,Paris,STATION,75011,operational,5,station,ok,nonexistent,2018,4,5,21,6,2018-04-05 21:06:00,0
203 Rue du Faubourg-Saint-Martin,2,2,0,1,0,operational,Paris,STATION,75010,operational,2,station,ok,nonexistent,2018,4,3,9,40,2018-04-03 09:40:00,3
16 rue Guynemer,1,1,0,0,0,nonexistent,Issy-les-Moulineaux,STATION,92130,operational,3,station,ok,nonexistent,2018,4,6,19,53,2018-04-06 19:53:00,1
8 rue Danton,0,0,0,0,2,operational,Paris,STATION,75006,operational,6,station,ok,nonexistent,2018,4,2,23,28,2018-04-02 23:28:00,0
35 rue de Boucry,0,0,0,0,0,broken,Paris,STATION,75018,broken,0,station,closed,nonexistent,2018,4,8,2,29,2018-04-08 02:29:00,0
24 rue du Pont Louis-Philippe,0,0,0,0,2,operational,Paris,STATION,75004,operational,5,station,ok,nonexistent,2018,4,9,21,7,2018-04-09 21:07:00,0
21 rue Miollis,4,4,0,0,1,operational,Paris,STATION,75015,operational,2,station,ok,nonexistent,2018,4,3,1,22,2018-04-03 01:22:00,4
14 rue Sorbier,1,1,0,0,2,operational,Paris,STATION,75020,operational,2,station,ok,nonexistent,2018,4,8,17,23,2018-04-08 17:23:00,1
6 rue de Londres,3,3,0,0,0,nonexistent,Paris,STATION,75009,operational,0,station,ok,nonexistent,2018,4,9,10,28,2018-04-09 10:28:00,3
38 ter rue du Mont ValÃ©rien,3,3,0,0,0,operational,Saint-Cloud,STATION,92210,operational,2,station,ok,nonexistent,2018,4,3,16,22,2018-04-03 16:22:00,3
123 Grande Rue,2,2,0,1,0,nonexistent,SÃ¨vres,STATION,92310,operational,2,station,ok,nonexistent,2018,4,8,3,9,2018-04-08 03:09:00,3
5 rue des Ecoles,4,4,0,0,0,nonexistent,Nanterre,STATION,92000,operational,0,station,ok,nonexistent,2018,4,6,11,51,2018-04-06 11:51:00,4
5 rue FrÃ©dÃ©rick LemaÃ®tre,5,5,0,0,0,operational,Paris,STATION,75020,operational,0,station,ok,nonexistent,2018,4,3,3,48,2018-04-03 03:48:00,5
